"Name","Gal.long","Gal.lat","R.sol.kpc","R.GC.kpc","m.H.metal","Mv","r.core.pc","r.tidal.pc","conc","log.t.rad","log.rho.cen","s0.km.s","V.esc.km.s","VHB.magl","E.B.V.mag","B.V.mag","Ellipt","V.t.mag","Cent.surf.bright"
"NGC_104",0.895375136971444,-1.66412729397078,-0.624192843265986,-0.300451444311691,1.07529840728484,-1.71841833103486,-0.501152948501784,0.455555153788105,0.921253074944096,-0.296064197934115,1.07130872348587,2.196447314146,2.38084231534545,-1.22161319710258,-0.754044309347238,-0.25345854058913,-1.924556642866,-0.427729751566259,-1.65037191647421
"NGC_288",-0.129736893351308,-3.28974696646837,-0.4455627044728,-0.110370050264571,-0.0482807838361515,0.299213415467731,0.270370666112722,-0.162394136207792,-1.23661496940776,0.885999525669502,-0.862572353293779,-0.780703722174954,-0.81941613850472,-0.755582557031437,-0.754044309347238,-0.328394995670792,-0.4906666688495,-1.07929735239776,0.304774230583111
"NGC_362",0.866426900638582,-1.71382032059692,-0.420752962973746,-0.214914816990487,-0.0482807838361515,-0.911365632433822,-0.501152948501784,-0.456781995390386,0.201963726826809,-0.403524536443536,0.942383318367225,1.36628019824881,1.35511845193193,-0.716746670358842,-0.754044309347238,-0.328394995670792,-1.057553402763,0.549621649680996,-1.46933986582076
"NGC_1261",0.661139522159085,-1.92866958277462,-0.0535687887877525,0.184256110508465,0.326245613204181,-0.507839283133304,-0.192543502655982,-0.159741993332273,-0.517325621290477,0.456158171631823,-0.0890199225819202,-0.00778951082239915,-0.0877331159364124,-0.250716030287703,-0.754044309347238,-0.328394995670792,-0.457320390384,1.2011892505125,-0.527973202422787
"Pal_1",-0.269377356027907,0.671079567555874,-0.17265554798321,0.279296807532025,0.700772010244513,3.05664346902127,-0.479109416655655,-0.615910567921518,0.00415915609455565,-1.15574690600947,-0.604721543056493,-1.38185921989361,-1.30492543385378,-0.173044256942514,-0.423165164648599,-0.178522085507468,1.343378646753,-0.753513551982011,0.811663972412787
"NGC_1466",0.768188377797312,-1.46864369658121,1.10256516506815,1.13941511559524,-1.54638637199748,-0.306076108483046,0.00584828395917693,0.816246584858672,0.00415915609455565,0.671078848650663,-0.540258840497171,-0.523065651724102,-0.525375297659512,0.603673476509383,-0.588604736997918,-0.478267905834115,0.342990292788,0.549621649680996,0.0151229495375809
"AM_1",0.580455421807996,-1.79493687876605,4.92326535592241,4.91728282228175,-0.61007037939665,1.71155563801954,1.4827649176498,1.00985301477155,-1.23661496940776,1.20838054119776,-2.15182640448021,-1.38185921989361,-1.3391162293009,1.41922709663387,-0.754044309347238,-0.403331450752453,2.076996772994,-0.101945951150507,1.75303063581076
"Eri",0.313826929268475,-1.53404848897884,3.35032774488241,3.60096916850545,0.326245613204181,1.4425380718192,0.755328366727554,1.12389515841886,-0.87697029534912,0.885999525669502,-1.76505018912428,-1.32460631534897,-1.27757279749609,1.14737588992571,-0.754044309347238,-0.328394995670792,1.7101877098735,-1.40508115281351,1.35476012437315
"Ret",0.648685818656618,-1.49531715940259,1.64837947804733,1.7524276113972,-1.17185997495715,0.769994156318334,2.6290285736485,2.74435445536089,0.00415915609455565,1.63822189523544,-2.21628910703953,-1.29597986307666,-1.26389647931724,0.759017023199762,-0.754044309347238,-0.478267905834115,1.0432621405635,-1.40508115281351,1.64441140541868
"Pal_2",-0.0013577583099195,-0.3553006662148,-0.177617496283021,0.369585469704407,-0.61007037939665,-0.171567325382873,-0.545240012194041,-0.812169140709915,0.0221413897974878,-0.940826228990635,1.13577142604519,0.822377605074789,0.801227565688635,1.41922709663387,1.72754927589255,0.645778920390809,1.14330097596,-0.101945951150507,0.123742179929655
"NGC_1841",0.836551260853408,-1.12554257891988,1.17699438956531,1.13466308074406,-0.422807180876484,-0.23882171693296,1.13006840811174,1.35993587434004,-0.87697029534912,1.4233012182166,-1.31381127120903,-0.866583078991904,-0.867283252130684,0.642509363181977,-0.588604736997918,-0.328394995670792,0.4430291281845,-1.40508115281351,0.703044742020713
"NGC_1851",0.488708723132906,-1.30421824083297,-0.257008669079992,0.131983727145507,0.138982414684014,-0.844111240883736,-0.56728354404017,-0.393130566377933,1.10107541197342,-1.15574690600947,1.39362223628248,1.22314793688723,1.43033820191559,-0.444895463650678,-0.754044309347238,-0.328394995670792,-0.824129453504499,0.223837849265244,-1.79519755699698
